,ask,size
2018-10-01 00:19:08.786000+00:00,26600.0,12.0
2018-10-01 00:19:09.838000+00:00,26601.0,10.0
2018-10-01 00:19:22.465000+00:00,26602.0,10.0
2018-10-01 00:19:23.517000+00:00,26601.0,10.0
2018-10-01 00:19:24.568000+00:00,26600.0,10.0
2018-10-01 00:19:25.273000+00:00,26601.0,10.0
2018-10-01 00:19:25.975000+00:00,26600.0,10.0
2018-10-01 00:19:27.026000+00:00,26601.0,10.0
2018-10-01 00:19:29.480000+00:00,26600.0,10.0
2018-10-01 00:19:52.261000+00:00,26599.0,10.0
2018-10-01 00:19:54.365000+00:00,26600.0,10.0
2018-10-01 00:20:08.742000+00:00,26602.0,12.0
2018-10-01 00:20:09.093000+00:00,26601.0,5.0
2018-10-01 00:20:09.793000+00:00,26600.0,5.0
2018-10-01 00:20:11.547000+00:00,26599.0,5.0
2018-10-01 00:20:12.248000+00:00,26600.0,22.0
2018-10-01 00:20:12.599000+00:00,26599.0,10.0
2018-10-01 00:20:28.725000+00:00,26598.0,10.0
2018-10-01 00:20:35.385000+00:00,26599.0,10.0
2018-10-01 00:20:50.104000+00:00,26601.0,22.0
2018-10-01 00:20:50.454000+00:00,26600.0,10.0
2018-10-01 00:20:55.011000+00:00,26599.0,10.0
2018-10-01 00:21:15.685000+00:00,26600.0,10.0
2018-10-01 00:21:20.240000+00:00,26601.0,10.0
2018-10-01 00:21:30.052000+00:00,26600.0,10.0
2018-10-01 00:21:48.979000+00:00,26601.0,10.0
2018-10-01 00:21:50.732000+00:00,26602.0,10.0
2018-10-01 00:21:53.537000+00:00,26601.0,10.0
2018-10-01 00:21:58.443000+00:00,26602.0,10.0
2018-10-01 00:21:58.793000+00:00,26601.0,10.0
2018-10-01 00:22:00.898000+00:00,26602.0,10.0
2018-10-01 00:22:12.468000+00:00,26601.0,10.0
2018-10-01 00:22:28.942000+00:00,26602.0,10.0
2018-10-01 00:22:36.299000+00:00,26604.0,22.0
2018-10-01 00:22:36.649000+00:00,26603.0,10.0
2018-10-01 00:22:40.503000+00:00,26604.0,12.0
2018-10-01 00:22:45.759000+00:00,26603.0,10.0
2018-10-01 00:22:46.110000+00:00,26602.0,10.0
2018-10-01 00:22:47.512000+00:00,26603.0,10.0
2018-10-01 00:22:49.614000+00:00,26602.0,10.0
2018-10-01 00:22:50.315000+00:00,26603.0,10.0
2018-10-01 00:22:53.122000+00:00,26602.0,10.0
2018-10-01 00:22:55.925000+00:00,26604.0,22.0
2018-10-01 00:22:56.279000+00:00,26603.0,10.0
2018-10-01 00:22:58.030000+00:00,26602.0,5.0
2018-10-01 00:23:00.487000+00:00,26603.0,10.0
2018-10-01 00:23:00.837000+00:00,26602.0,10.0
2018-10-01 00:23:01.188000+00:00,26603.0,5.0
2018-10-01 00:23:25.729000+00:00,26602.0,5.0
2018-10-01 00:23:28.533000+00:00,26603.0,10.0
2018-10-01 00:23:30.287000+00:00,26602.0,5.0
2018-10-01 00:23:30.637000+00:00,26603.0,10.0
2018-10-01 00:24:00.449000+00:00,26604.0,10.0
2018-10-01 00:24:00.800000+00:00,26603.0,5.0
2018-10-01 00:24:01.150000+00:00,26604.0,12.0
2018-10-01 00:24:10.615000+00:00,26605.0,12.0
2018-10-01 00:24:19.032000+00:00,26606.0,22.0
2018-10-01 00:24:19.382000+00:00,26605.0,10.0
2018-10-01 00:24:23.939000+00:00,26604.0,5.0
2018-10-01 00:24:27.445000+00:00,26605.0,10.0
2018-10-01 00:24:49.872000+00:00,26606.0,12.0
2018-10-01 00:24:50.573000+00:00,26607.0,12.0
2018-10-01 00:24:53.377000+00:00,26606.0,12.0
2018-10-01 00:24:54.078000+00:00,26607.0,12.0
2018-10-01 00:24:58.634000+00:00,26606.0,12.0
2018-10-01 00:25:09.508000+00:00,26605.0,12.0
2018-10-01 00:25:09.861000+00:00,26604.0,12.0
2018-10-01 00:25:14.773000+00:00,26603.0,12.0
2018-10-01 00:25:17.924000+00:00,26604.0,12.0
2018-10-01 00:25:20.731000+00:00,26605.0,12.0
2018-10-01 00:25:23.183000+00:00,26604.0,12.0
2018-10-01 00:25:29.842000+00:00,26603.0,12.0
2018-10-01 00:25:35.585000+00:00,26602.0,12.0
2018-10-01 00:25:39.088000+00:00,26603.0,12.0
2018-10-01 00:25:42.244000+00:00,26602.0,12.0
2018-10-01 00:25:49.958000+00:00,26603.0,12.0
2018-10-01 00:25:55.216000+00:00,26602.0,12.0
2018-10-01 00:25:56.268000+00:00,26603.0,12.0
2018-10-01 00:26:06.082000+00:00,26602.0,12.0
2018-10-01 00:26:13.092000+00:00,26603.0,12.0
2018-10-01 00:26:14.848000+00:00,26602.0,12.0
2018-10-01 00:26:17.301000+00:00,26603.0,12.0
2018-10-01 00:26:19.758000+00:00,26602.0,12.0
2018-10-01 00:26:20.459000+00:00,26603.0,12.0
2018-10-01 00:26:28.522000+00:00,26604.0,12.0
2018-10-01 00:26:28.873000+00:00,26603.0,12.0
2018-10-01 00:26:32.377000+00:00,26604.0,12.0
2018-10-01 00:26:32.729000+00:00,26603.0,12.0
2018-10-01 00:26:46.747000+00:00,26604.0,12.0
2018-10-01 00:26:50.602000+00:00,26605.0,12.0
2018-10-01 00:26:54.459000+00:00,26604.0,12.0
2018-10-01 00:27:05.322000+00:00,26605.0,12.0
2018-10-01 00:27:06.723000+00:00,26604.0,12.0
2018-10-01 00:27:07.424000+00:00,26605.0,12.0
2018-10-01 00:27:10.926000+00:00,26604.0,5.0
2018-10-01 00:27:20.477000+00:00,26605.0,5.0
2018-10-01 00:27:32.062000+00:00,26604.0,12.0
2018-10-01 00:27:32.412000+00:00,26603.0,12.0
2018-10-01 00:27:34.165000+00:00,26604.0,12.0
2018-10-01 00:27:34.517000+00:00,26603.0,12.0
2018-10-01 00:27:36.268000+00:00,26604.0,12.0
2018-10-01 00:27:51.765000+00:00,26603.0,12.0
2018-10-01 00:28:09.172000+00:00,26602.0,12.0
2018-10-01 00:28:09.523000+00:00,26601.0,12.0
2018-10-01 00:28:13.400000+00:00,26602.0,12.0
2018-10-01 00:28:16.554000+00:00,26601.0,12.0
2018-10-01 00:28:20.409000+00:00,26602.0,12.0
2018-10-01 00:28:29.166000+00:00,26601.0,12.0
2018-10-01 00:28:45.640000+00:00,26600.0,12.0
2018-10-01 00:28:45.992000+00:00,26601.0,12.0
2018-10-01 00:28:47.744000+00:00,26598.0,5.0
2018-10-01 00:28:48.446000+00:00,26600.0,5.0
2018-10-01 00:28:49.147000+00:00,26599.0,5.0
2018-10-01 00:28:50.197000+00:00,26600.0,10.0
2018-10-01 00:29:24.895000+00:00,26601.0,10.0
2018-10-01 00:29:28.750000+00:00,26600.0,10.0
2018-10-01 00:29:34.356000+00:00,26601.0,12.0
2018-10-01 00:29:58.883000+00:00,26600.0,12.0
2018-10-01 00:29:59.235000+00:00,26599.0,12.0
2018-10-01 00:30:02.395000+00:00,26600.0,12.0
2018-10-01 00:30:06.602000+00:00,26599.0,12.0
2018-10-01 00:30:17.469000+00:00,26600.0,12.0
2018-10-01 00:30:17.820000+00:00,26599.0,12.0
2018-10-01 00:30:20.973000+00:00,26600.0,12.0
2018-10-01 00:30:28.332000+00:00,26601.0,12.0
2018-10-01 00:30:31.137000+00:00,26602.0,12.0
2018-10-01 00:30:41.655000+00:00,26603.0,12.0
2018-10-01 00:30:42.005000+00:00,26602.0,12.0
2018-10-01 00:30:43.410000+00:00,26601.0,12.0
2018-10-01 00:30:45.514000+00:00,26602.0,12.0
2018-10-01 00:30:53.224000+00:00,26601.0,12.0
2018-10-01 00:30:53.926000+00:00,26600.0,12.0
2018-10-01 00:30:54.276000+00:00,26599.0,12.0
2018-10-01 00:30:58.830000+00:00,26600.0,12.0
2018-10-01 00:30:59.180000+00:00,26599.0,12.0
2018-10-01 00:30:59.885000+00:00,26600.0,12.0
